Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.50     0.00       63     0.00     0.57  Make_wreckage
  0.00      0.50     0.00       63     0.00     0.00  Rank_add_death
  0.00      0.50     0.00       62     0.00     0.00  Send_connector
  0.00      0.50     0.00       61     0.00     0.00  Robot_war
  0.00      0.50     0.00       61     0.00     0.00  Update_score_table
  0.00      0.50     0.00       60     0.00     0.00  Rank_add_kill
  0.00      0.50     0.00       60     0.00     0.00  Score_players
  0.00      0.50     0.00       48     0.00     0.00  encode
  0.00      0.50     0.00       47     0.00     0.00  Option_change_node
  0.00      0.50     0.00       41     0.00     0.00  Convert_string_to_bool
  0.00      0.50     0.00       30     0.00     0.00  Player_lock_allowed
  0.00      0.50     0.00       30     0.00     0.00  Player_lock_closest
  0.00      0.50     0.00       26     0.00     0.00  Convert_string_to_float
  0.00      0.50     0.00       26     0.00     0.00  Convert_string_to_int
  0.00      0.50     0.00       25     0.00     0.00  Robot_default_set_war
  0.00      0.50     0.00       25     0.00     0.00  Robot_set_war
  0.00      0.50     0.00       20     0.00     0.00  Rank_add_round
  0.00      0.50     0.00       20     0.00     0.00  Send_war
  0.00      0.50     0.00       19     0.00     0.00  init_ID
  0.00      0.50     0.00       16     0.00     0.00  Find_option_by_name
  0.00      0.50     0.00       15     0.00     0.14  Make_treasure_ball
  0.00      0.50     0.00       14     0.00     0.00  peek_ID
  0.00      0.50     0.00       11     0.00     0.00  Parse_check_info_request
  0.00      0.50     0.00       11     0.00     0.00  showtime
  0.00      0.50     0.00        8     0.00     0.00  Conn_set_state
  0.00      0.50     0.00        8     0.00     0.00  Get_player_index_by_name
  0.00      0.50     0.00        8     0.00     0.00  Rank_get_logout_message
  0.00      0.50     0.00        8     0.00     0.00  rank_showtime
  0.00      0.50     0.00        6     0.00     0.00  Check_team_members
  0.00      0.50     0.00        6     0.00     0.00  Pick_startpos
  0.00      0.50     0.00        6     0.00     0.00  Receive_power
  0.00      0.50     0.00        6     0.00     0.00  Send_base
  0.00      0.50     0.00        5     0.00     0.00  Delete_player
  0.00      0.50     0.00        5     0.00     0.00  Init_player
  0.00      0.50     0.00        5     0.00     0.00  Meta_send
  0.00      0.50     0.00        5     0.00     0.00  Option_get_value
  0.00      0.50     0.00        5     0.00     0.00  Pick_team
  0.00      0.50     0.00        5     0.00     0.00  Send_player
  0.00      0.50     0.00        5     0.00     0.00  release_ID
  0.00      0.50     0.00        5     0.00     0.00  request_ID
  0.00      0.50     0.00        4     0.00     0.00  Compute_end_of_round_values
  0.00      0.50     0.00        4     0.00     0.00  Count_rounds
  0.00      0.50     0.00        4     0.00     0.00  Give_best_player_bonus
  0.00      0.50     0.00        4     0.00     0.00  Give_individual_bonus
  0.00      0.50     0.00        4     0.00     0.00  Init_item
  0.00      0.50     0.00        4     0.00     0.00  Rank_write_rankfile
  0.00      0.50     0.00        4     0.00     0.00  Rank_write_webpage
  0.00      0.50     0.00        4     0.00     0.00  Receive_modifier_bank
  0.00      0.50     0.00        4     0.00     5.41  Reset_all_players
  0.00      0.50     0.00        4     0.00     0.00  Robot_create
  0.00      0.50     0.00        4     0.00     0.00  Robot_default_create
  0.00      0.50     0.00        4     0.00     0.00  Robot_default_destroy
  0.00      0.50     0.00        4     0.00     0.00  Robot_destroy
  0.00      0.50     0.00        4     0.00     0.00  Robot_reset_war
  0.00      0.50     0.00        4     0.00     0.00  Server_info
  0.00      0.50     0.00        4     0.00     0.00  SortRankings
  0.00      0.50     0.00        4     0.00     5.41  Team_game_over
  0.00      0.50     0.00        3     0.00     0.00  Obj_repel
  0.00      0.50     0.00        3     0.00     0.00  Reply
  0.00      0.50     0.00        3     0.00     0.00  Version_to_magic
  0.00      0.50     0.00        3     0.00     0.00  fileOpen
  0.00      0.50     0.00        2     0.00     0.00  Check_address
  0.00      0.50     0.00        2     0.00     0.00  Contact
  0.00      0.50     0.00        2     0.00     0.00  Convert_string_to_list
  0.00      0.50     0.00        2     0.00     0.00  Free_cells
  0.00      0.50     0.00        2     0.00     0.00  Log_game
  0.00      0.50     0.00        2     0.00     0.00  Player_crash
  0.00      0.50     0.00        2     0.00     0.00  Send_reply
  0.00      0.50     0.00        2     0.00     0.00  install_input
  0.00      0.50     0.00        2     0.00     0.00  openDefaultsFile
  0.00      0.50     0.00        2     0.00     0.00  sig_ok
  0.00      0.50     0.00        1     0.00     0.00  Alloc_map
  0.00      0.50     0.00        1     0.00     0.00  Alloc_players
  0.00      0.50     0.00        1     0.00     0.00  Check_connection
  0.00      0.50     0.00        1     0.00     0.00  Check_names
  0.00      0.50     0.00        1     0.00     0.00  Check_server_versions
  0.00      0.50     0.00        1     0.00     0.00  Compress_map
  0.00      0.50     0.00        1     0.00     0.00  Contact_cleanup
  0.00      0.50     0.00        1     0.00     0.00  Contact_init
  0.00      0.50     0.00        1     0.00     0.00  Destroy_connection
  0.00      0.50     0.00        1     0.00     0.00  End_game
  0.00      0.50     0.00        1     0.00     0.00  Find_base_direction
  0.00      0.50     0.00        1     0.00     0.00  Free_map
  0.00      0.50     0.00        1     0.00     0.00  Free_players
  0.00      0.50     0.00        1     0.00     0.00  Free_shots
  0.00      0.50     0.00        1     0.00     0.00  Get_option_descs
  0.00      0.50     0.00        1     0.00     0.00  Handle_listening
  0.00      0.50     0.00        1     0.00     0.00  Handle_login
  0.00      0.50     0.00        1     0.00     0.00  Handle_setup
  0.00      0.50     0.00        1     0.00     0.00  Handle_signal
  0.00      0.50     0.00        1     0.00     0.00  Init_default_options
  0.00      0.50     0.00        1     0.00     0.00  Init_map
  0.00      0.50     0.00        1     0.00     0.00  Init_options
  0.00      0.50     0.00        1     0.00     0.00  Init_receive
  0.00      0.50     0.00        1     0.00     0.00  Init_setup
  0.00      0.50     0.00        1     0.00     0.00  Meta_gone
  0.00      0.50     0.00        1     0.00     0.00  Meta_init
  0.00      0.50     0.00        1     0.00     0.00  Move_init
  0.00      0.50     0.00        1     0.00     0.00  Options_free
  0.00      0.50     0.00        1     0.00     0.00  Options_hash_free
  0.00      0.50     0.00        1     0.00     0.00  Options_hash_performance
  0.00      0.50     0.00        1     0.00     0.00  Options_parse
  0.00      0.50     0.00        1     0.00     0.00  Options_parse_FPS
  0.00      0.50     0.00        1     0.00     0.00  Options_parse_expand
  0.00      0.50     0.00        1     0.00     0.00  Origin_name
  0.00      0.50     0.00        1     0.00     0.00  Parse_robot_file
  0.00      0.50     0.00        1     0.00     0.00  Parser
  0.00      0.50     0.00        1     0.00     0.00  Player_set_score
  0.00      0.50     0.00        1     0.00     0.00  Queue_ack
  0.00      0.50     0.00        1     0.00     0.00  Queue_player
  0.00      0.50     0.00        1     0.00     0.00  Queue_remove
  0.00      0.50     0.00        1     0.00     0.00  Rank_get_saved_score
  0.00      0.50     0.00        1     0.00     0.00  Rank_init_saved_scores
  0.00      0.50     0.00        1     0.00     0.00  Rank_parse_rankfile
  0.00      0.50     0.00        1     0.00     0.00  Rank_save_score
  0.00      0.50     0.00        1     0.00     0.00  Receive_display
  0.00      0.50     0.00        1     0.00     0.00  Receive_fps_request
  0.00      0.50     0.00        1     0.00     0.00  Receive_play
  0.00      0.50     0.00        1     0.00     0.00  Receive_quit
  0.00      0.50     0.00        1     0.00     0.00  Receive_shape
  0.00      0.50     0.00        1     0.00     0.00  Robot_default_setup
  0.00      0.50     0.00        1     0.00     0.00  Robot_init
  0.00      0.50     0.00        1     0.00     0.00  Set_initial_resources
  0.00      0.50     0.00        1     0.00     0.00  Set_world_items
  0.00      0.50     0.00        1     0.00     0.00  Set_world_rules
  0.00      0.50     0.00        1     0.00     0.00  Setup_connection
  0.00      0.50     0.00        1     0.00     0.00  Walldist_alloc
  0.00      0.50     0.00        1     0.00     0.00  Walls_init
  0.00      0.50     0.00        1     0.00     0.00  allow_timer
  0.00      0.50     0.00        1     0.00     0.00  block_timer
  0.00      0.50     0.00        1     0.00     0.00  closeCompressedFile
  0.00      0.50     0.00        1     0.00     0.00  closeMapFile
  0.00      0.50     0.00        1     0.00     0.00  copyFilename
  0.00      0.50     0.00        1     0.00     0.00  fileClose
  0.00      0.50     0.00        1     0.00     0.00  getMultilineValue
  0.00      0.50     0.00        1     0.00     0.00  isCompressed
  0.00      0.50     0.00        1     0.00     0.00  openCompressedFile
  0.00      0.50     0.00        1     0.00     0.00  openMapFile
  0.00      0.50     0.00        1     0.00     0.00  parseDefaultsFile
  0.00      0.50     0.00        1     0.00     0.00  parseMapFile
  0.00      0.50     0.00        1     0.00     0.00  parseOpenFile
  0.00      0.50     0.00        1     0.00     0.00  parsePasswordFile
  0.00      0.50     0.00        1     0.00     0.00  plock_server
  0.00      0.50     0.00        1     0.00     0.00  remove_input
  0.00      0.50     0.00        1     0.00     0.00  setup_timer

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 2.00% of 0.50 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     74.0    0.00    0.37                 main [1]
                0.11    0.18       1/1           sched [2]
                0.05    0.00       1/1           Alloc_shots [6]
                0.02    0.00       1/1           Walldist_init [8]
                0.01    0.00       1/1           Grok_map [12]
                0.00    0.00       2/15          Make_treasure_ball [29]
                0.00    0.00       1/1           Check_server_versions [207]
                0.00    0.00       1/1           Parser [238]
                0.00    0.00       1/1           plock_server [274]
                0.00    0.00       1/1           Find_base_direction [213]
                0.00    0.00       1/1           Walls_init [259]
                0.00    0.00       1/1           Alloc_players [204]
                0.00    0.00       1/1           Move_init [229]
                0.00    0.00       1/1           Robot_init [253]
                0.00    0.00       1/1           Rank_init_saved_scores [244]
                0.00    0.00       1/2           Log_game [197]
                0.00    0.00       1/1           Contact_init [210]
                0.00    0.00       1/1           Meta_init [228]
                0.00    0.00       1/11          showtime [157]
                0.00    0.00       1/1           setup_timer [276]
                0.00    0.00       1/1           Handle_signal [221]
-----------------------------------------------
                0.11    0.18       1/1           main [1]
[2]     58.0    0.11    0.18       1         sched [2]
                0.06    0.12   19799/19799       Handle_input [3]
                0.00    0.00       2/2           Contact [194]
                0.00    0.00       1/1           Handle_listening [218]
-----------------------------------------------
                0.06    0.12   19799/19799       sched [2]
[3]     36.0    0.06    0.12   19799         Handle_input [3]
                0.11    0.00   20112/20112       Receive_pointer_move [4]
                0.01    0.00    4779/4779        Receive_keyboard [11]
                0.00    0.00    1148/1148        Receive_ack_fuel [97]
                0.00    0.00     123/123         Receive_ack [112]
                0.00    0.00       6/6           Receive_power [164]
                0.00    0.00       4/4           Receive_modifier_bank [181]
                0.00    0.00       1/1           Receive_quit [250]
                0.00    0.00       1/1           Receive_fps_request [248]
                0.00    0.00       1/1           Receive_display [247]
                0.00    0.00       1/1           Receive_play [249]
                0.00    0.00       1/1           Receive_shape [251]
-----------------------------------------------
                0.11    0.00   20112/20112       Handle_input [3]
[4]     22.0    0.11    0.00   20112         Receive_pointer_move [4]
-----------------------------------------------
                                                 <spontaneous>
[5]     12.0    0.06    0.00                 Packet_scanf [5]
-----------------------------------------------
                0.05    0.00       1/1           main [1]
[6]     10.0    0.05    0.00       1         Alloc_shots [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      8.0    0.04    0.00                 Sockbuf_read [7]
-----------------------------------------------
                0.02    0.00       1/1           main [1]
[8]      4.0    0.02    0.00       1         Walldist_init [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      4.0    0.02    0.00                 DgramRead [9]
-----------------------------------------------
                0.00    0.00      15/73383       Make_treasure_ball [29]
                0.00    0.00     263/73383       Make_wreckage [24]
                0.00    0.00    1583/73383       Fire_normal_shots [17]
                0.01    0.00   71522/73383       Make_debris [15]
[10]     2.0    0.01    0.00   73383         Object_position_init_pixels [10]
                0.00    0.00   73383/768280      Object_position_set_clicks [31]
-----------------------------------------------
                0.01    0.00    4779/4779        Handle_input [3]
[11]     2.0    0.01    0.00    4779         Receive_keyboard [11]
                0.00    0.00    1202/1202        Handle_keyboard [96]
-----------------------------------------------
                0.01    0.00       1/1           main [1]
[12]     2.0    0.01    0.00       1         Grok_map [12]
                0.00    0.00      74/74          Find_closest_team [130]
                0.00    0.00       1/1           Init_map [223]
                0.00    0.00       1/1           Alloc_map [203]
                0.00    0.00       1/1           Set_world_rules [256]
                0.00    0.00       1/1           Set_initial_resources [254]
                0.00    0.00       1/1           Set_world_items [255]
-----------------------------------------------
                0.00    0.01    3588/3588        Main_loop [14]
[13]     2.0    0.00    0.01    3588         Update_objects [13]
                0.00    0.01    8152/8152        Thrust [16]
                0.00    0.00    1991/2598        Fire_normal_shots [17]
                0.00    0.00      63/83          Kill_player [19]
                0.00    0.00    3588/3588        Robot_update [23]
                0.00    0.00    3588/3588        Compute_game_status [26]
                0.00    0.00       5/15          Make_treasure_ball [29]
                0.00    0.00  694897/694897      Move_object [33]
                0.00    0.00   73227/73235       Delete_shot [36]
                0.00    0.00   15276/15276       Move_player [47]
                0.00    0.00   13686/37404       Wrap_length [38]
                0.00    0.00   12500/17162       Turn_player [45]
                0.00    0.00   12500/17162       update_player_turn [46]
                0.00    0.00   12500/12500       update_player_thrust [51]
                0.00    0.00   12437/12437       Update_tanks [54]
                0.00    0.00    3588/3588        PlayerCollision [72]
                0.00    0.00    3588/3588        Check_collision [70]
                0.00    0.00    2776/2776        Transport_to_home [92]
                0.00    0.00    2066/10351       Add_fuel [56]
                0.00    0.00     394/394         Move_ball [101]
                0.00    0.00     110/131         Send_score [111]
                0.00    0.00      77/82          Go_home [124]
                0.00    0.00      63/83          Player_death_reset [123]
                0.00    0.00      57/61          Update_score_table [139]
-----------------------------------------------
                                                 <spontaneous>
[14]     2.0    0.00    0.01                 Main_loop [14]
                0.00    0.01    3588/3588        Update_objects [13]
                0.00    0.00   15114/15114       timeval_to_seconds [49]
                0.00    0.00    7557/7557        Queue_loop [62]
                0.00    0.00    7175/7175        Frame_radar_buffer_free [63]
                0.00    0.00    7175/7175        Frame_update [65]
                0.00    0.00    3780/3780        insert_measure [68]
                0.00    0.00    3780/3780        Input [67]
                0.00    0.00    3588/3588        Init_interpolation_data [71]
                0.00    0.00    3587/3587        Update_objects_interpolation [88]
                0.00    0.00     118/120         Meta_update [114]
-----------------------------------------------
                0.00    0.00      83/16387       Explode_fighter [18]
                0.00    0.01   16304/16387       Thrust [16]
[15]     1.9    0.00    0.01   16387         Make_debris [15]
                0.01    0.00   71522/73383       Object_position_init_pixels [10]
-----------------------------------------------
                0.00    0.01    8152/8152        Update_objects [13]
[16]     1.9    0.00    0.01    8152         Thrust [16]
                0.00    0.01   16304/16387       Make_debris [15]
-----------------------------------------------
                0.00    0.00     607/2598        Check_robot_target [22]
                0.00    0.00    1991/2598        Update_objects [13]
[17]     0.0    0.00    0.00    2598         Fire_normal_shots [17]
                0.00    0.00    1583/73383       Object_position_init_pixels [10]
-----------------------------------------------
                0.00    0.00      83/83          Kill_player [19]
[18]     0.0    0.00    0.00      83         Explode_fighter [18]
                0.00    0.00      83/16387       Make_debris [15]
                0.00    0.00      63/63          Make_wreckage [24]
-----------------------------------------------
                0.00    0.00      20/83          Reset_all_players [27]
                0.00    0.00      63/83          Update_objects [13]
[19]     0.0    0.00    0.00      83         Kill_player [19]
                0.00    0.00      83/83          Explode_fighter [18]
-----------------------------------------------
                0.00    0.00    9287/9287        Robot_play [21]
[20]     0.0    0.00    0.00    9287         Robot_default_play [20]
                0.00    0.00    5001/8936        Check_robot_target [22]
                0.00    0.00    5465/5465        Ball_handler [25]
                0.00    0.00    9287/44318       Robot_default_get_data [37]
                0.00    0.00    9287/9287        Robot_default_play_check_objects [59]
                0.00    0.00    9287/9287        Check_robot_evade [58]
                0.00    0.00    8205/12639       Wrap_findDir [50]
                0.00    0.00    1530/1530        Check_robot_hunt [95]
                0.00    0.00    1176/22600       Detect [40]
                0.00    0.00     354/354         Robot_default_play_check_map [103]
-----------------------------------------------
                0.00    0.00    9287/9287        Robot_update [23]
